iter 286: loss 1.86568594, time 44.71ms
iter 287: loss 1.86368871, time 43.98ms
iter 288: loss 1.86460614, time 45.54ms
iter 289: loss 1.84939039, time 44.39ms
iter 290: loss 1.85465181, time 45.20ms
iter 291: loss 1.86371696, time 44.44ms
iter 292: loss 1.85642064, time 45.12ms
iter 293: loss 1.84747946, time 44.43ms
iter 294: loss 1.89916492, time 46.57ms
iter 295: loss 1.85650396, time 44.98ms
iter 296: loss 1.84962404, time 44.59ms
iter 297: loss 1.82982886, time 44.52ms
iter 298: loss 1.84105265, time 44.26ms
iter 299: loss 1.81974244, time 44.62ms
iter 300: loss 1.82628560, time 44.31ms
iter 301: loss 1.85053313, time 44.75ms
iter 302: loss 1.84851491, time 44.61ms
iter 303: loss 1.83151066, time 44.66ms
iter 304: loss 1.84865749, time 44.86ms
iter 305: loss 1.82671964, time 44.79ms
iter 306: loss 1.81656837, time 44.52ms
iter 307: loss 1.83502603, time 44.70ms
iter 308: loss 1.82911956, time 44.64ms
iter 309: loss 1.80806267, time 44.74ms
iter 310: loss 1.83454490, time 44.86ms
iter 311: loss 1.83443034, time 45.20ms
iter 312: loss 1.79482889, time 45.02ms
iter 313: loss 1.81250131, time 45.21ms
iter 314: loss 1.84163380, time 44.11ms
iter 315: loss 1.82204008, time 85.68ms
iter 316: loss 1.81649208, time 47.87ms
iter 317: loss 1.81419015, time 46.61ms
iter 318: loss 1.81621766, time 46.80ms
iter 319: loss 1.79724050, time 44.41ms
iter 320: loss 1.81920087, time 44.91ms
iter 321: loss 1.83205211, time 44.37ms
iter 322: loss 1.79290867, time 44.93ms
iter 323: loss 1.79911554, time 45.61ms
iter 324: loss 1.79586327, time 44.47ms
iter 325: loss 1.79778528, time 45.54ms
iter 326: loss 1.79493082, time 44.43ms
iter 327: loss 1.80051970, time 45.72ms
iter 328: loss 1.77327538, time 44.58ms
iter 329: loss 1.80872524, time 45.35ms
iter 330: loss 1.76897299, time 44.77ms
iter 331: loss 1.77002084, time 46.21ms
iter 332: loss 1.78669465, time 44.40ms
iter 333: loss 1.76946616, time 45.28ms
iter 334: loss 1.77194774, time 44.56ms
iter 335: loss 1.81030917, time 44.78ms
iter 336: loss 1.79175425, time 45.01ms
iter 337: loss 1.74137282, time 45.36ms
iter 338: loss 1.78690648, time 44.61ms
iter 339: loss 1.78210223, time 44.97ms
iter 340: loss 1.75732875, time 44.58ms
iter 341: loss 1.75025642, time 44.58ms
iter 342: loss 1.77231562, time 44.44ms
iter 343: loss 1.77174604, time 44.66ms
iter 344: loss 1.78025186, time 44.28ms
iter 345: loss 1.75115180, time 44.80ms
iter 346: loss 1.78142905, time 45.21ms
iter 347: loss 1.76319277, time 44.81ms
